ACCOUNT_ID,NUM_PRODUCED_BLOCKS,NUM_EXPECTED_BLOCKS,ONLINE
"node0",188297,188352,0.9997079935440027
"node1",186474,186624,0.999196244855967
"node2",151078,152928,0.9879028039338774
"node3",73142,74736,0.9786715906658103
"bisontrails.pool.f863973.m0",22400,22464,0.9971509971509972
"orangeclub.pool.f863973.m0",22000,22896,0.9608665269042628
"staked.pool.6fb1358",20912,21168,0.9879062736205594
"dokia.pool.f863973.m0",18845,19008,0.9914246632996633
"fresh_lockup.pool.f863973.m0",16756,16848,0.9945394112060779
"node.pool.6fb1358",15342,16416,0.9345760233918129
"jazza.pool.f863973.m0",12525,12528,0.9997605363984674
"inotel.pool.f863973.m0",10204,10368,0.9841820987654321
"pool_easy2stake.pool.f863973.m0",9894,9936,0.9957729468599034
"alexandruast.pool.f863973.m0",9496,9504,0.9991582491582491
"top.pool.f863973.m0",9438,9504,0.9930555555555556
"sl1sub.pool.f863973.m0",9437,9504,0.9929503367003367
"kronos.pool.f863973.m0",9428,9505,0.991899000526039
"01node.pool.f863973.m0",9404,9504,0.9894781144781145
"zainy.pool.f863973.m0",9379,9504,0.9868476430976431
"dsrvlabs.pool.f863973.m0",9334,9504,0.9821127946127947
"lunanova.pool.f863973.m0",9318,9504,0.9804292929292929
"masternode24.pool.f863973.m0",8018,8640,0.9280092592592593
"staked.pool.f863973.m0",8012,8640,0.9273148148148148
"blazenet.pool.f863973.m0",8004,8640,0.9263888888888889
"thepassivetrust.pool.f863973.m0",7857,8640,0.909375
"certusone.pool.f863973.m0",7334,8208,0.8935185185185185
"syncnode.pool.f863973.m0",6912,6912,1
"bazilik.pool.f863973.m0",6339,8208,0.7722953216374269
"sparkpool.pool.f863973.m0",6328,7776,0.8137860082304527
"zpool.pool.f863973.m0",5876,6048,0.9715608465608465
"nodeasy.pool.f863973.m0",5590,5616,0.9953703703703703
"iosg.pool.f863973.m0",5112,6048,0.8452380952380952
"canary0.near",4910,5616,0.8742877492877493
"stakin.pool.f863973.m0",4746,5616,0.8450854700854701
"bitcat.pool.f863973.m0",4598,5184,0.8869598765432098
"aquarius.pool.f863973.m0",4266,6480,0.6583333333333333
"moonlet.pool.f863973.m0",2574,3456,0.7447916666666666
"figment.pool.f863973.m0",2062,2592,0.7955246913580247
"cryptium.pool.f863973.m0",2012,2592,0.7762345679012346
"hashquark01.pool.f863973.m0",1965,2592,0.7581018518518519
"okexpool.pool.f863973.m0",257,864,0.2974537037037037
"stakin-pool.pool.f863973.m0",0,864,0
"shudo.pool.f863973.m0",0,864,0
